                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74868,                 2.6621,                 1.2493,                0.69611,                0.70569,                0.75993,                0.62901,                0.56545,                 26.805,                 1.0273,              0.0033149,              0.0033149,              0.0033149
                      2,                0.78216,                 1.7071,                 1.2418,                0.82389,                0.76373,                0.84376,                 0.6831,                0.59964,                 43.569,                 1.1035,              0.0066351,              0.0066351,              0.0066351
                      3,                0.83546,                 1.5468,                 1.2555,                0.74499,                0.62964,                0.75454,                0.59423,                0.68893,                 20.241,                  1.161,              0.0099421,              0.0099421,              0.0099421
                      4,                0.91858,                 1.5767,                 1.3249,                0.65161,                0.70377,                0.73306,                0.55404,                0.74776,                 25.004,                 1.1909,              0.0099406,              0.0099406,              0.0099406
                      5,                0.89349,                 1.3951,                 1.2964,                 0.7251,                0.70551,                 0.7738,                0.61424,                 0.6898,                  19.71,                 1.1374,              0.0099208,              0.0099208,              0.0099208
                      6,                0.90166,                  1.337,                 1.3105,                0.79954,                0.69348,                0.80299,                0.62913,                0.72071,                 10.469,                 1.1719,               0.009901,               0.009901,               0.009901
                      7,                0.86919,                 1.2062,                 1.2795,                0.83626,                0.71496,                0.84462,                0.67529,                0.68772,                 13.308,                 1.1486,              0.0098812,              0.0098812,              0.0098812
                      8,                0.84466,                  1.146,                 1.2726,                0.76622,                0.68653,                0.78252,                0.61947,                0.74988,                 9.6022,                  1.214,              0.0098614,              0.0098614,              0.0098614
                      9,                0.83873,                 1.0797,                 1.2629,                0.82023,                0.79076,                0.88902,                0.73485,                0.61964,                 16.741,                 1.0802,              0.0098416,              0.0098416,              0.0098416
                     10,                0.82089,                 1.0408,                 1.2501,                 0.8469,                0.80277,                0.88649,                0.72326,                0.62063,                 10.559,                 1.0804,              0.0098218,              0.0098218,              0.0098218
                     11,                0.80636,                 1.0094,                 1.2387,                 0.8893,                0.78631,                 0.8849,                0.73497,                 0.6247,                 9.4845,                 1.0829,               0.009802,               0.009802,               0.009802
                     12,                0.79115,                0.97414,                 1.2306,                0.84535,                0.78812,                0.88923,                0.74383,                0.59839,                 4.6993,                 1.0411,              0.0097822,              0.0097822,              0.0097822
                     13,                0.78325,                 0.9523,                 1.2287,                 0.7714,                0.76804,                0.84103,                0.68586,                 0.6013,                 7.9633,                 1.0485,              0.0097624,              0.0097624,              0.0097624
                     14,                0.76959,                0.91251,                 1.2146,                0.88425,                0.81177,                0.89586,                0.75381,                0.57927,                 8.0404,                 1.0268,              0.0097426,              0.0097426,              0.0097426
                     15,                0.76571,                 0.9033,                 1.2135,                0.88166,                 0.8158,                0.90491,                 0.7491,                0.59728,                 4.6227,                 1.0499,              0.0097228,              0.0097228,              0.0097228
                     16,                 0.7617,                0.87548,                 1.2063,                0.89932,                0.85554,                0.93217,                0.79479,                0.54859,                 9.5074,                 1.0001,               0.009703,               0.009703,               0.009703
                     17,                0.72986,                0.86328,                 1.1834,                0.88219,                 0.8291,                0.90758,                0.77348,                0.57128,                 6.8077,                 1.0286,              0.0096832,              0.0096832,              0.0096832
